State,Latitude,Longitude,Ids
Assam,26.66,92.78,1
Assam,26.44,89.98,1
Manipur,24.75,93.42,1
Manipur,24.27,94,1
Manipur,24.46,93.95,1
Manipur,24.81,94.09,1
Manipur,24.91,94.12,1
Tamil Nadu,11.49,76.73,1
Tamil Nadu,11.54,78.14,1
Tamil Nadu,11.76,79.62,1
Tamil Nadu,10.99,76.84,1
Tamil Nadu,11.45,77.44,1
Tamil Nadu,8.74,77.69,1
Tamil Nadu,11.7,78.55,1
Tamil Nadu,8.09,77.54,1
Tamil Nadu,11.02,76.93,1
Tamil Nadu,12.92,79.02,1
Tamil Nadu,11.57,78.14,1
Tamil Nadu,11.15,77.89,1
Tamil Nadu,11.71,78.21,1
Tamil Nadu,11.77,78.21,1
Tamil Nadu,11.1,79.65,1
Kerala,10.79,76.65,1
Kerala,11.05,76.07,1
Kerala,8.55,76.92,1
Chhattisgarh,19.11,82.03,1
Chhattisgarh,19.09,81.96,1
Chhattisgarh,18.97,81.4,1
Chhattisgarh,18.94,81.91,1
Chhattisgarh,20.28,81.6,1
Chhattisgarh,19.11,82.03,1
Chhattisgarh,22.64,83.74,1
Chhattisgarh,19.09,82.13,1
Chhattisgarh,19.14,81.58,1
Chhattisgarh,19.09,81.96,1
Chhattisgarh,18.94,81.92,1
Chhattisgarh,19.25,82.07,1
Chhattisgarh,19.45,81.75,1
Chhattisgarh,18.68,81.68,1
Chhattisgarh,19.08,82.01,1
Dadra and Nagar Haveli,20.16,73,1
Gujarat,20.85,72.92,1
Andhra Pradesh,18.32,82.88,1
Andhra Pradesh,17.13,84.33,1
Andhra Pradesh,18.65,83.5,1
Andhra Pradesh,17.87,82.35,1
Andhra Pradesh,17.13,84.33,1
Andhra Pradesh,17.13,84.33,1
Andhra Pradesh,18.74,84.11,1
Andhra Pradesh,17.22,82.06,1
Andhra Pradesh,17.07,82.05,1
Andhra Pradesh,18.03,83.5,1
Andhra Pradesh,17.08,82.07,1
Andhra Pradesh,17.12,82.08,1
Andhra Pradesh,17.15,82.33,1
Andhra Pradesh,18.3,83.9,1
Andhra Pradesh,17.06,82.12,1
Andhra Pradesh,18.33,83.19,1
Andhra Pradesh,16.89,81.66,1
Andhra Pradesh,18.58,83.55,1
Andhra Pradesh,18.6,83.75,1
Andhra Pradesh,17.03,82.12,1
Andhra Pradesh,18.32,82.88,1
Andhra Pradesh,17.04,82.03,1
Andhra Pradesh,17.15,82.33,1
Andhra Pradesh,18.71,83.71,1
Andhra Pradesh,17.32,78.41,1
Andhra Pradesh,17.24,82.09,1
Andhra Pradesh,17.13,84.33,1
Andhra Pradesh,17.06,82.17,1
Andhra Pradesh,18.25,82.49,1
Andhra Pradesh,18.41,83.9,1
Andhra Pradesh,17.11,82.26,1
Maharashtra,17.89,73.24,1
Assam,26.7,93.99,2
Assam,27.75,95.63,2
Assam,26.7,93.99,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,85.12,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,22.52,84.52,2
Jharkhand,23.25,85.12,2
Jharkhand,23.55,85.35,2
Jharkhand,23.55,85.35,2
Jharkhand,23.43,85.32,2
Jharkhand,23.55,85.35,2
Jharkhand,23.43,85.32,2
Jharkhand,23.43,85.32,2
Jharkhand,23.55,85.35,2
Jharkhand,23.43,85.32,2
Jharkhand,23.43,85.32,2
Jharkhand,23.43,85.32,2
Jharkhand,24.3,87.56,2
Jharkhand,24.58,87.01,2
Jharkhand,24.58,87.01,2
Jharkhand,24.58,87.01,2
Jharkhand,23.44,84.78,2
Jharkhand,23.44,84.56,2
Jharkhand,23.42,84.77,2
Jharkhand,23.42,84.78,2
Jharkhand,23.49,84.75,2
Jharkhand,23.49,84.65,2
Jharkhand,23.43,84.6,2
Jharkhand,23.47,84.66,2
Jharkhand,23.8,84.61,2
Jharkhand,23.73,84.25,2
Jharkhand,23.8,84.63,2
Jharkhand,23.82,84.77,2
Jharkhand,23.82,84.75,2
Jharkhand,23.73,84.25,2
Jharkhand,24.19,85.02,2
Jharkhand,24.21,84.99,2
Jharkhand,24.12,84.81,2
Jharkhand,24.21,84.96,2
Jharkhand,24.21,84.99,2
Jharkhand,24.73,84.34,2
Jharkhand,22.7,86.41,2
Jharkhand,22.79,86.23,2
Jharkhand,22.66,86.42,2
Jharkhand,22.68,86.24,2
Jharkhand,22.35,86.47,2
Manipur,24.5,93.98,2
Manipur,24.38,94.15,2
Manipur,24.91,94.12,2
Manipur,24.85,93.82,2
Manipur,24.72,94.02,2
Manipur,24.81,94.09,2
Bihar,26.48,84.33,2
Bihar,26.07,85.27,2
Bihar,25.55,85.29,2
Bihar,25.26,87.24,2
Bihar,25.78,87.48,2
Bihar,26.03,85.47,2
Tamil Nadu,10.97,76.91,2
Tamil Nadu,10.96,76.74,2
Tamil Nadu,11.47,77.57,2
Tamil Nadu,10.98,76.77,2
Tamil Nadu,10.77,77.01,2
Tamil Nadu,11.16,77.35,2
Tamil Nadu,10.99,76.82,2
Tamil Nadu,11.01,76.84,2
Tamil Nadu,11,76.86,2
Tamil Nadu,10.72,77.66,2
Tamil Nadu,10.36,77.96,2
Tamil Nadu,10.88,77.66,2
Karnataka,13.16,75.86,2
Karnataka,13.1,75.89,2
Karnataka,25.58,84.86,2
Karnataka,15.52,74.34,2
Karnataka,15.58,74.4,2
Karnataka,16.7,75.13,2
Karnataka,18.57,75,2
Karnataka,16.11,74.78,2
Karnataka,16.12,75.45,2
Karnataka,16.5,75.29,2
Karnataka,16.4,75.2,2
Karnataka,16.16,75.62,2
Karnataka,16.6,75.64,2
Karnataka,16.54,75.59,2
Karnataka,16.34,74.72,2
Karnataka,16.23,74.59,2
Karnataka,16.3,74.69,2
Karnataka,16.62,75.42,2
Karnataka,16.8,75.98,2
Karnataka,16.43,75.65,2
Karnataka,16.75,75.8,2
Karnataka,16.5,75.8,2
Karnataka,16.15,74.54,2
Karnataka,16.13,74.49,2
Karnataka,16.09,74.4,2
Karnataka,16.17,74.45,2
Karnataka,16.14,74.42,2
Karnataka,16.73,75.16,2
Karnataka,15.52,74.34,2
Karnataka,16.5,75.47,2
Karnataka,16.53,75.5,2
Karnataka,16.54,75.49,2
Karnataka,16.49,75.39,2
Karnataka,12.29,76.63,2
Karnataka,12.31,76.65,2
Karnataka,13.2,74.45,2
Karnataka,15.52,74.34,2
Karnataka,15.54,74.36,2
Karnataka,15.58,74.4,2
Karnataka,15.48,74.32,2
Karnataka,15.43,74.3,2
Karnataka,16.49,74.77,2
Karnataka,15.74,74.93,2
Karnataka,15.86,74.98,2
Karnataka,13.35,74.81,2
Karnataka,15.31,74.59,2
Karnataka,15.34,74.6,2
Karnataka,15.63,74.52,2
Karnataka,15.7,74.58,2
Karnataka,15.84,74.49,2
Karnataka,15.8,74.38,2
Karnataka,15.67,74.56,2
Karnataka,15.89,74.85,2
Chhattisgarh,19.32,81.93,2
Chhattisgarh,19.21,81.93,2
Chhattisgarh,18.9,81.34,2
Chhattisgarh,19.07,82.02,2
Chhattisgarh,22.41,82.6,2
Chhattisgarh,19.09,81.96,2
Chhattisgarh,19.21,81.93,2
Chhattisgarh,19.14,82.15,2
Chhattisgarh,19.21,81.94,2
Chhattisgarh,18.53,81.75,2
Chhattisgarh,22.42,82.29,2
Chhattisgarh,18.97,81.75,2
Chhattisgarh,20.28,81.53,2
Chhattisgarh,22.35,83.5,2
